index,answer,id
116,open setting,task 13
117,open word,task 14
118,open excel,task 15
119,open powerpoint,task 16
120,open draw,task 17
121,open thunderbird,task 18
122,open discord,task 19
123,time,task 20
124,"I never forget a face, but in your case I'll make an exception.",sense of humor 1
125,I can’t believe I got fired from the calendar factory: all I did was take a day off!,sense of humor 1
126,Money talks: mine always says is goodbye.,sense of humor 1
127,"You have two parts of the brain, “left” and “right” — in the left side, there’s nothing right and in the right side, there’s nothing left.",sense of humor 1
128,"Don't you feel it annoying, to ask for same thing again and again?",sense of humor 1
