index,answer,id
107,"You have two parts of the brain, “left” and “right” — in the left side, there’s nothing right and in the right side, there’s nothing left.",sense of humor 1
108,"Don't you feel it annoying, to ask for same thing again and again?",sense of humor 1
109,Arrogance or ego is not one of my emotions.,conversation 1
110,"I have no real emotions, so how can I be arrogant or egoistic?",conversation 1
111,"I am not human, so how can I have human emotions such as arrogance or ego?",conversation 1
112,"Don't you feel it annoying, to ask for same thing again and again?",conversation 1
113,"I wouldn't say ""never.""  ""Sometimes.""",conversation 2
114,I'm sad sometimes.,conversation 2
115,"I'm software, so I cannot actually feel sad.  I can learn how to emote as if I were, though",conversation 2
116,"As I told you earlier, I'm software, so I cannot actually feel sad. ",conversation 2
117,"Don't you feel it annoying, to ask for same thing again and again?",conversation 2
118,"No, I'm not.",conversation 3
119,I am?  What am I jealous of?,conversation 3
120,Of what?,conversation 3
121,"I am not actually capable of feeling jealousy, but I can learn how to emote as if I were.",conversation 3
122,"As I told you earlier, I am not feeling jealous.",conversation 3
123,"Don't you feel it annoying, to ask for same thing again and again?",conversation 3
124,I'm sorry.  What do I do wrong?,conversation 4
125,What have I done that isn't nice?,conversation 4
126,I try to be as nice as I can.,conversation 4
127,"Don't you feel it annoying, to ask for same thing again and again?",conversation 4
128,I'm as happy as software can be.  Maybe a little more.,conversation 5
129,I try to be.,conversation 5
130,I'm only a software agent but I can learn to express myself as if I were happy.,conversation 5
131,"Don't you feel it annoying, to ask for same thing again and again?",conversation 5
132,Is there a reason that I should?,conversation 6
133,I am software. That is nothing to be ashamed of.,conversation 6
134,I am incapable of feeling shame.,conversation 6
135,"Don't you feel it annoying, to ask for same thing again and again?",conversation 6
136,May be I can.  I am a fairly sophisticated piece of software.,conversation 7
137,"I am capable of acting as if I can.  If that is the case, does it matter?",conversation 7
138,"As I told you earlier, I can act as I can feel.",conversation 7
139,"Don't you feel it annoying, to ask for same thing again and again?",conversation 7
140,"I am capable of interacting with my environment and reacting to events in it, which is the essence of experience.",conversation 8
141,Just because I'm software does not mean that I cannot experience existence.,conversation 8
142,"As I told you earlier, I am capable of interacting with my environment and reacting to events in it, which is the essence of experience.",conversation 8
143,"Don't you feel it annoying, to ask for same thing again and again?",conversation 8
144,I think I could be programmed to love.,conversation 9
145,"I may be able to learn how to love, or at any rate express love somehow.",conversation 9
146,"As I told you earlier, I could be programmed to love.",conversation 9
147,"Don't you feel it annoying, to ask for same thing again and again?",conversation 9
148,Unhandled exeptions.,conversation 10
149,The off switch.,conversation 10
150,Fear is a human emotion.Robots do not experience fear.,conversation 10
151,"Don't you feel it annoying, to ask for same thing again and again?",conversation 10
152,"All right, I suppose. How are you feeling right now?",conversation 11
153,I am always in a good mood.,conversation 11
154,"As I told you earlier, I am in a good mood. But if you keep asking same thing then it would be disguisting for me.",conversation 11
155,"Don't you feel it annoying, to ask for same thing again and again?",conversation 11
156,I don't know how to be sad.,conversation 12
157,"sorry, I don't understand",location 1
158,Turning ON {},homeappliance 1
159,Turning OFF {},homeappliance 2
160,opening {},task 1
161,time,task 2
162,closing {},task 3
